PA,R,H,Db,HR,RBI,BB,SO
610,65,141,27,10,57,42,53.0
107,21,28,3,1,11,5,19.0
84,8,17,1,0,4,1,8.0
646,90,168,30,21,92,32,28.0
63,8,11,2,0,5,7,11.0
87,8,19,1,1,8,6,8.0
358,41,79,11,3,19,40,34.0
191,22,37,3,7,22,29,24.0
80,5,9,1,0,7,8,27.0
329,37,65,10,9,37,25,41.0
691,110,163,32,14,61,86,40.0
71,7,11,0,1,4,8,14.0
53,5,9,0,0,5,6,9.0
598,101,157,22,31,122,75,84.0
76,8,11,1,0,4,9,17.0
182,21,45,7,12,34,12,23.0
63,10,15,2,1,9,3,11.0
54,3,7,0,0,6,2,4.0
604,50,124,18,1,37,24,45.0
502,72,146,21,21,97,55,34.0
640,64,162,23,21,112,34,61.0
549,61,142,22,19,66,42,61.0
131,10,31,3,2,8,5,31.0
69,5,8,0,0,2,6,21.0
207,22,43,3,4,22,21,26.0
631,87,147,32,10,84,73,51.0
573,61,108,16,19,70,85,45.0
224,39,44,6,6,15,45,24.0
392,39,78,17,2,27,26,53.0
520,68,141,41,12,73,52,22.0
79,4,15,2,0,0,3,8.0
181,22,38,5,3,22,19,11.0
175,27,40,6,7,29,25,21.0
491,73,117,14,28,87,75,67.0
62,5,9,2,1,4,1,20.0
629,97,180,25,40,108,55,34.0
357,41,72,12,13,38,56,53.0
53,3,11,0,0,5,0,7.0
143,9,26,8,1,14,12,11.0
369,35,94,18,16,50,26,33.0
731,94,209,33,2,48,50,31.0
168,15,37,3,3,16,12,8.0
63,6,5,0,0,1,1,13.0
85,11,23,3,3,10,4,14.0
125,12,26,9,2,17,7,20.0
347,37,96,15,10,35,41,41.0
181,17,38,4,4,11,17,24.0
109,11,26,6,4,15,16,15.0
166,18,31,7,0,13,14,16.0
665,85,179,22,9,61,52,36.0
59,2,7,1,0,4,1,13.0
668,100,167,27,11,73,41,33.0
397,46,96,19,8,54,47,29.0
73,5,12,3,0,1,5,13.0
52,3,6,1,0,2,2,8.0
266,34,56,12,8,31,28,39.0
198,26,49,9,5,27,15,21.0
470,51,108,21,9,47,39,65.0
56,6,13,1,0,9,2,13.0
55,6,15,1,2,12,3,8.0
540,105,136,24,21,92,79,90.0
50,9,12,1,2,3,4,11.0
54,5,6,0,0,1,5,8.0
111,22,19,1,2,2,13,26.0
400,51,95,14,17,62,41,28.0
645,72,151,24,15,75,43,56.0
60,2,7,1,0,5,6,21.0
184,14,44,4,0,17,19,21.0
247,21,59,3,6,23,15,23.0
681,110,175,31,47,135,99,83.0
614,82,154,27,10,83,60,65.0
399,36,94,11,1,29,32,43.0
610,51,130,15,5,43,43,52.0
544,64,132,26,12,82,58,47.0
84,6,11,1,0,2,3,21.0
144,19,29,9,2,12,16,10.0
469,53,103,10,12,42,51,56.0
625,61,145,17,8,39,33,59.0
56,5,10,1,0,3,0,17.0
50,4,8,2,0,1,3,2.0
95,9,28,8,1,13,2,13.0
74,5,15,1,1,6,3,16.0
542,76,150,26,13,60,42,20.0
118,6,26,3,4,27,12,17.0
89,4,7,1,1,8,3,42.0
657,104,174,24,15,104,74,43.0
63,12,13,0,1,5,5,10.0
62,5,6,4,0,2,4,13.0
232,35,51,6,7,33,33,47.0
289,25,76,14,6,41,18,25.0
698,127,200,53,30,113,105,32.0
502,56,160,12,6,60,19,13.0
260,21,66,14,2,28,18,31.0
111,11,26,1,4,17,14,15.0
74,12,13,5,2,16,12,20.0
392,55,92,12,6,46,42,39.0
55,6,16,2,3,8,4,13.0
568,72,143,32,15,69,57,57.0
119,15,20,0,4,14,19,14.0
58,5,7,2,1,6,1,9.0
282,21,62,5,0,14,17,30.0
312,28,69,13,2,22,21,36.0
654,88,173,26,7,55,57,42.0
568,70,153,23,17,72,37,33.0
104,7,21,4,0,9,4,16.0
189,16,44,3,4,19,14,20.0
73,7,14,4,0,5,3,24.0
261,48,75,12,7,27,7,36.0
342,43,90,22,2,24,27,10.0
678,80,188,30,9,59,51,35.0
102,4,11,0,0,4,4,16.0
654,76,159,21,3,52,41,52.0
60,4,7,1,1,4,5,16.0
61,2,7,0,0,2,2,11.0
108,8,25,7,3,16,6,20.0
67,6,13,1,0,2,4,5.0
216,14,46,6,1,24,17,19.0
65,2,8,3,1,8,0,22.0
71,4,9,1,0,11,3,13.0
625,108,142,25,13,61,82,61.0
137,19,38,6,2,13,13,31.0
614,75,156,25,15,66,33,71.0
173,18,38,7,11,30,10,28.0
480,32,99,22,6,37,48,49.0
305,39,89,16,4,42,17,22.0
639,79,147,26,11,78,53,70.0
506,54,112,21,2,54,71,39.0
140,14,22,5,1,7,7,29.0
685,64,152,28,22,102,63,56.0
574,109,159,34,12,95,74,30.0
65,4,3,0,1,2,3,18.0
559,64,125,15,2,50,64,36.0
60,2,6,0,0,5,3,23.0
688,115,201,27,43,145,85,48.0
281,47,73,14,5,26,30,35.0
63,6,12,1,0,6,9,12.0
77,8,17,3,0,8,5,1.0
202,10,43,5,0,12,12,19.0
449,61,104,16,19,60,50,56.0
66,5,13,3,1,5,7,7.0
627,107,193,35,15,79,60,23.0
438,46,91,12,19,64,49,82.0
319,30,69,10,10,52,41,46.0
69,2,11,1,0,6,2,9.0
56,4,10,1,0,2,9,8.0
189,19,43,12,5,23,17,20.0
323,37,77,15,8,35,32,47.0
94,11,23,3,0,12,9,5.0
264,25,55,3,7,22,18,27.0
100,6,13,1,0,3,2,15.0
579,64,143,34,6,89,80,28.0
288,20,63,9,6,25,28,57.0
173,28,36,9,3,14,20,25.0
427,41,110,12,4,44,24,23.0
680,132,198,38,42,126,82,90.0
67,10,21,4,0,4,5,8.0
290,29,84,13,11,46,8,35.0
111,6,23,5,2,12,1,22.0
455,55,85,18,20,56,42,74.0
83,7,16,3,2,5,3,9.0
90,4,8,0,0,2,4,21.0
256,30,45,6,3,18,29,56.0
143,14,24,6,1,14,13,18.0
186,16,53,8,4,17,18,24.0
73,16,16,2,2,13,14,3.0
58,11,10,0,0,3,4,14.0
482,43,119,17,5,47,51,52.0
474,44,130,11,4,35,17,35.0
88,7,18,5,1,6,13,5.0
66,10,16,5,0,6,5,7.0
120,14,29,4,1,9,7,12.0
541,62,117,24,4,46,64,65.0
510,68,116,22,30,102,50,93.0
52,1,6,0,0,2,3,6.0
70,10,17,3,1,12,11,7.0
169,25,37,5,1,12,14,13.0
454,80,117,15,24,74,60,39.0
656,80,175,22,26,106,43,57.0
131,17,25,2,6,13,19,13.0
438,58,104,25,11,64,53,57.0
55,5,8,2,1,6,3,9.0
73,6,15,3,1,6,0,10.0
538,53,140,27,3,59,34,30.0
107,15,19,3,0,9,22,7.0
679,101,205,43,15,115,63,57.0
460,54,106,15,11,74,48,59.0
262,24,72,9,1,16,13,23.0
103,5,23,6,3,9,7,11.0
120,10,23,5,4,12,18,21.0
332,35,59,7,8,27,44,39.0
519,61,118,18,19,70,72,44.0
348,40,65,5,12,30,56,73.0
259,42,72,7,9,46,35,29.0
515,59,130,34,13,64,29,48.0
120,16,27,6,7,29,6,21.0
391,51,101,11,3,34,44,19.0
60,4,12,2,2,5,3,10.0
110,17,37,6,13,34,19,10.0
193,21,41,6,0,10,26,12.0
483,64,121,26,10,58,82,29.0
147,14,33,5,2,25,12,21.0
104,11,25,2,3,10,7,17.0
452,42,111,14,6,47,38,43.0
593,48,137,22,4,25,41,40.0
713,107,157,30,9,45,123,59.0
55,1,13,0,0,1,7,1.0
81,11,13,2,0,4,14,13.0
62,4,14,2,1,6,4,6.0
617,85,158,21,42,108,57,79.0
509,58,131,27,13,69,28,39.0
53,6,6,1,0,2,10,9.0
506,67,124,22,6,25,72,67.0
454,69,105,25,3,23,55,46.0
562,73,154,27,23,87,44,58.0
493,54,109,13,11,57,47,57.0
482,38,83,8,3,30,56,84.0
271,28,60,14,4,34,24,41.0
298,44,72,18,9,34,31,24.0
106,6,16,0,2,9,4,25.0
703,111,175,16,1,41,125,46.0
252,22,50,8,1,23,21,19.0
340,36,83,8,3,26,43,21.0
638,112,189,27,15,67,59,31.0
223,21,36,2,9,20,35,34.0
603,68,149,32,13,61,47,55.0
650,70,163,19,19,79,40,50.0
179,16,36,7,3,19,17,15.0
425,73,111,16,12,54,40,42.0
327,38,90,12,4,28,20,15.0
294,27,58,7,11,24,33,34.0
684,104,185,38,17,101,48,58.0
652,88,179,28,22,125,56,29.0
103,11,22,8,4,12,11,24.0
307,35,60,15,5,24,35,33.0
413,46,87,15,6,38,36,51.0
437,42,92,20,6,36,47,55.0
622,75,160,19,20,85,71,53.0
175,13,43,12,1,19,8,18.0
61,10,10,3,0,5,4,3.0
63,6,16,1,0,7,1,13.0
223,18,54,7,0,12,15,27.0
61,4,12,1,0,2,7,7.0
69,5,13,1,1,7,8,3.0
619,89,161,20,4,30,40,78.0
89,3,7,1,0,4,1,14.0
392,41,127,27,4,46,42,11.0
686,83,187,22,7,80,43,56.0
53,1,9,0,0,5,4,10.0
446,43,82,14,19,51,42,49.0
471,60,124,14,8,65,43,38.0
718,106,158,28,12,62,85,67.0
188,21,50,6,3,24,26,12.0
112,14,26,6,5,13,11,17.0
256,26,56,9,1,24,17,21.0
287,29,74,11,2,20,16,17.0
542,40,131,22,1,40,41,48.0
333,39,65,7,3,21,26,29.0
81,4,13,3,2,5,3,22.0
399,67,93,20,12,46,51,37.0
80,5,12,1,0,3,0,13.0
279,23,55,7,1,11,33,69.0
55,4,11,0,0,3,3,11.0
181,21,49,10,7,32,21,23.0
437,25,107,18,4,37,30,7.0
252,26,53,9,2,17,21,13.0
515,60,112,18,21,64,40,56.0
693,98,189,26,20,70,27,40.0
356,40,88,11,11,50,43,40.0
426,39,92,24,6,38,49,38.0
572,49,124,16,8,40,20,63.0
194,18,45,7,1,19,14,4.0
85,4,15,2,0,5,2,9.0
491,35,108,14,2,29,56,57.0
219,22,47,8,6,20,19,17.0
675,94,157,18,32,126,85,94.0
355,27,90,14,4,44,24,41.0
620,73,145,23,25,119,50,60.0
98,4,14,2,0,4,4,23.0
77,15,11,1,0,3,7,11.0
66,5,11,4,0,5,5,8.0
282,30,71,10,5,51,40,14.0
55,6,9,1,0,1,4,17.0
560,57,147,25,7,51,64,66.0
401,33,104,13,4,40,33,22.0
610,77,162,30,9,49,35,84.0
79,7,10,1,0,7,9,15.0
82,3,6,0,0,2,9,19.0
706,111,201,24,2,47,51,12.0
104,8,26,5,3,18,13,17.0
266,25,59,8,4,36,21,41.0
57,6,14,1,1,7,5,8.0
607,56,161,23,19,96,49,35.0
187,16,43,5,5,21,28,12.0
71,6,7,0,0,5,8,3.0
94,5,11,0,0,4,6,22.0
115,10,23,5,1,7,6,19.0
90,3,13,2,0,4,6,15.0
695,107,171,28,13,52,76,30.0
185,19,43,3,5,18,12,21.0
86,11,14,1,2,6,0,8.0
447,38,111,12,12,49,67,24.0
552,71,148,25,1,36,51,15.0
455,57,106,17,2,29,40,29.0
590,79,152,27,27,95,41,81.0
80,3,10,0,1,9,2,26.0
477,41,116,20,7,60,42,37.0
98,6,15,0,0,3,8,21.0
59,4,13,0,0,6,1,8.0
99,16,18,4,0,4,5,11.0
353,38,74,8,2,27,33,46.0
660,83,178,39,13,89,53,44.0
72,6,8,1,2,5,12,21.0
314,39,68,7,2,25,17,27.0
257,31,64,12,2,25,28,24.0
366,40,85,12,5,33,58,25.0
53,2,5,1,1,3,3,17.0
470,56,99,12,11,40,34,48.0
276,43,65,15,2,27,55,27.0
296,41,64,9,7,26,25,39.0
678,106,176,23,42,130,74,84.0
63,5,10,6,0,6,10,24.0
148,12,28,5,8,30,17,15.0
392,35,88,12,9,38,31,34.0
76,6,18,2,1,10,2,11.0
451,28,100,9,2,27,21,38.0
512,62,113,13,19,64,70,23.0
674,80,181,33,12,104,49,42.0
543,77,132,17,19,67,44,55.0
107,10,26,4,4,10,6,20.0
575,63,131,11,0,26,60,22.0
84,10,11,3,0,2,7,23.0
674,92,160,25,25,117,79,52.0
610,64,145,28,12,56,61,54.0
57,7,17,3,1,9,10,10.0
535,43,139,18,4,43,22,45.0
227,26,51,7,9,33,19,29.0
110,7,14,2,1,8,4,14.0
109,15,24,3,0,10,15,3.0
84,5,9,2,0,7,4,11.0
261,25,66,10,5,48,18,12.0
63,2,10,2,0,6,2,8.0
53,5,9,1,1,3,2,17.0
359,37,81,13,6,45,28,43.0
643,88,159,36,22,73,76,90.0
659,104,187,28,49,141,78,35.0
60,1,8,0,0,1,5,19.0
330,32,78,13,1,34,19,24.0
696,81,201,28,5,48,29,13.0
102,12,16,0,5,14,18,9.0
95,6,22,5,1,4,5,15.0
64,10,12,5,1,13,5,8.0
58,2,10,0,0,4,3,15.0
113,11,21,4,2,10,6,24.0
139,12,30,2,2,13,9,34.0
73,5,18,4,3,17,3,9.0
451,42,102,19,8,45,42,62.0
356,41,73,10,14,32,35,37.0
55,4,8,2,0,2,2,13.0
639,73,143,17,16,60,59,31.0
57,1,6,0,0,5,2,20.0
638,66,154,17,8,66,51,51.0
365,31,77,13,7,34,37,28.0
298,42,75,14,14,42,33,37.0
67,2,1,0,0,2,5,6.0
72,6,7,1,0,5,9,9.0
60,4,7,2,0,3,4,3.0
308,27,68,4,8,36,20,43.0
81,3,8,0,0,1,4,16.0
129,10,34,4,3,17,7,14.0
651,129,163,17,27,102,102,107.0
109,21,30,5,0,4,9,16.0
83,7,18,2,1,7,11,9.0
601,96,138,21,40,103,113,61.0
117,9,26,4,0,5,12,21.0
641,119,195,33,41,110,66,57.0
104,7,19,3,0,4,7,12.0
87,9,21,7,3,17,5,5.0
474,66,102,22,12,48,62,64.0
58,5,11,2,2,9,4,8.0
88,12,17,1,0,5,12,8.0
677,86,147,21,4,42,47,54.0
256,17,55,9,5,32,18,26.0
150,22,42,6,7,23,12,12.0
142,12,30,8,0,16,23,10.0
142,7,34,5,1,15,15,15.0
66,3,2,0,0,2,5,20.0
345,35,74,13,7,44,56,31.0
104,9,20,3,2,3,3,9.0
57,5,8,1,1,1,3,16.0
676,119,182,29,19,116,77,46.0
88,7,13,3,2,14,8,19.0
131,12,29,4,1,12,10,10.0
69,6,17,1,1,6,9,1.0
716,106,193,29,12,76,71,73.0
537,58,119,25,14,50,70,68.0
52,2,7,1,1,2,2,17.0
67,3,15,2,0,2,1,10.0
102,16,25,4,2,14,7,11.0
141,7,31,3,0,5,14,16.0
658,90,212,35,4,71,22,17.0
64,4,15,4,0,2,2,5.0
705,120,195,41,35,126,103,39.0
113,10,24,2,0,12,9,12.0
55,6,15,1,0,4,4,6.0
279,24,66,14,8,35,22,32.0
78,6,18,3,1,3,8,17.0
480,70,136,21,12,66,43,38.0
66,13,9,0,3,7,8,12.0
604,61,151,28,2,37,38,46.0
245,25,59,12,1,20,12,23.0
82,6,16,3,1,11,9,6.0
570,61,146,22,14,69,37,36.0
142,12,27,6,0,16,9,21.0
179,20,38,3,1,16,4,21.0
171,17,40,4,0,9,10,7.0
522,48,102,13,12,60,57,48.0
68,4,11,0,0,5,4,12.0
520,77,135,24,8,38,36,42.0
65,5,7,1,0,3,5,18.0
70,7,17,3,0,4,5,5.0
51,6,13,2,0,4,1,6.0
114,21,30,2,4,13,10,22.0
99,3,9,0,1,5,4,24.0
87,3,8,0,1,2,5,30.0
486,46,115,21,18,83,26,70.0
485,36,118,17,8,38,19,19.0
70,3,9,0,0,3,3,18.0
661,98,171,35,10,69,90,62.0
208,21,45,5,2,24,19,16.0
678,99,175,39,19,79,43,75.0
474,52,98,15,13,53,41,60.0
58,3,8,1,0,3,2,10.0
186,31,56,7,15,50,18,25.0
167,13,37,10,2,16,16,21.0
96,10,14,4,1,9,14,24.0
81,5,11,0,0,5,8,15.0
552,62,140,16,13,61,49,68.0
373,47,60,11,2,15,41,23.0
565,47,115,18,1,36,55,49.0
133,11,15,6,0,6,5,34.0
173,9,27,8,0,8,23,25.0
163,11,37,9,3,27,19,21.0
465,62,120,22,15,59,63,20.0
566,76,140,20,24,102,85,43.0
570,75,131,17,3,56,78,60.0
87,6,23,4,2,9,3,23.0
415,40,114,18,9,70,25,42.0
606,98,150,18,41,103,70,68.0
127,6,20,3,1,12,15,20.0
68,6,7,0,0,1,2,15.0
296,25,77,14,7,33,17,31.0
679,98,192,38,5,79,54,22.0
299,25,58,9,7,30,48,39.0
181,13,42,9,1,17,17,23.0
79,8,10,0,4,13,14,18.0
265,24,69,8,3,22,26,33.0
76,3,10,5,2,10,7,10.0
609,75,119,26,24,102,80,77.0
100,11,16,0,0,8,3,20.0
530,67,117,15,8,46,47,59.0
237,37,73,12,7,41,19,18.0
154,19,31,4,1,19,28,8.0
583,101,135,29,11,50,88,65.0
679,120,199,39,40,130,84,96.0
174,17,36,3,0,17,15,18.0
113,4,21,6,1,10,7,17.0
55,5,11,1,2,6,12,7.0
393,31,104,17,8,46,17,36.0
64,5,5,1,1,9,5,30.0
68,4,7,1,0,3,6,8.0
433,42,77,12,6,37,55,62.0
215,8,41,11,0,16,7,16.0
79,6,7,3,0,1,6,21.0
76,3,10,1,0,5,6,19.0
428,45,97,15,1,19,16,25.0
132,5,22,3,0,4,10,9.0
60,5,13,1,1,8,2,9.0
72,4,12,1,2,10,3,15.0
576,60,155,14,0,44,62,24.0
382,42,70,10,3,24,32,40.0
653,81,172,32,23,94,51,74.0
557,76,118,18,26,86,90,58.0
113,7,23,3,2,15,12,29.0
193,9,35,6,1,10,30,30.0
582,63,133,22,5,54,75,52.0
105,5,17,2,0,8,1,21.0
90,8,11,2,0,5,2,23.0
602,64,141,20,7,58,62,60.0
363,21,75,8,1,33,17,42.0
71,6,9,3,0,3,1,25.0
281,28,48,11,1,33,51,18.0
674,90,173,33,20,97,61,61.0
131,8,30,4,2,15,12,28.0
349,35,88,17,2,33,28,25.0
183,12,28,7,5,23,24,17.0
407,37,97,16,7,48,39,61.0
57,2,6,0,0,2,2,21.0
106,5,19,1,1,13,11,17.0
337,33,81,14,14,48,34,40.0
274,36,63,9,11,42,26,37.0
299,25,46,3,8,27,45,60.0
102,14,22,4,1,8,9,8.0
530,46,139,25,14,75,21,50.0
601,65,121,18,9,46,43,33.0
526,93,133,23,29,89,136,32.0
68,2,8,2,1,7,4,6.0
372,43,77,10,15,33,39,59.0
204,22,48,11,2,22,27,12.0
360,33,76,12,3,40,53,35.0
192,13,42,4,1,17,18,38.0
296,28,62,12,3,28,29,39.0
105,10,17,3,0,4,7,13.0
687,101,138,26,11,47,131,71.0
499,43,106,13,4,24,54,42.0
373,42,84,8,14,62,30,60.0
65,8,14,4,2,8,6,5.0
74,1,8,1,0,3,1,14.0
665,105,189,37,27,106,49,61.0
407,56,75,12,6,32,89,69.0
176,23,41,11,2,20,20,21.0
324,40,76,14,15,45,31,44.0
94,11,26,10,0,10,10,10.0
84,8,15,3,2,5,5,14.0
455,59,96,16,10,51,55,45.0
90,8,17,1,4,15,3,18.0
61,2,13,0,1,6,0,13.0
644,91,180,32,3,42,105,36.0
338,29,69,4,5,23,47,33.0
253,21,44,8,1,18,40,16.0
643,83,146,22,13,61,82,47.0
681,82,163,29,11,52,49,57.0
646,98,176,29,44,117,45,72.0
672,88,188,30,27,104,54,57.0
615,84,147,20,27,108,60,20.0
78,4,18,4,0,13,4,11.0
77,13,14,2,1,10,5,11.0
309,23,81,12,1,27,16,24.0
297,30,54,7,3,24,31,43.0
173,19,33,5,0,7,9,17.0
563,97,137,20,20,53,56,65.0
83,3,19,1,0,6,3,17.0
574,78,140,27,18,62,37,67.0
560,61,142,22,20,116,50,49.0
63,6,12,3,0,4,3,7.0
191,20,48,4,1,18,15,19.0
685,106,175,30,9,47,43,72.0
67,2,6,0,0,0,3,24.0
187,11,47,8,0,15,14,13.0
92,10,20,5,0,7,3,20.0
477,67,129,15,20,77,47,35.0
208,23,44,6,6,14,13,22.0
370,38,82,13,1,27,25,37.0
80,9,11,1,0,3,3,16.0
89,6,16,1,1,6,8,15.0
522,81,142,20,32,107,56,41.0
570,73,131,19,7,47,44,51.0
598,83,134,11,11,52,61,59.0
196,14,34,2,1,9,17,25.0
372,24,78,6,11,41,25,68.0
501,48,121,23,5,47,18,60.0
146,18,31,7,1,11,13,15.0
260,16,54,8,0,21,18,22.0
112,12,22,5,0,8,11,11.0
51,8,10,2,0,5,5,3.0
330,40,65,9,13,45,44,32.0
62,2,11,1,0,4,0,12.0
96,17,29,4,3,22,7,16.0
119,11,31,8,7,15,6,19.0
264,26,71,8,2,30,19,9.0
495,61,104,15,26,62,40,56.0
50,4,7,0,0,1,3,9.0
213,25,41,7,3,14,17,16.0
53,4,11,2,0,5,3,6.0
354,41,85,12,15,55,45,44.0
508,77,134,20,9,45,22,32.0
139,12,25,3,0,11,3,15.0
121,10,27,4,0,10,12,8.0
56,5,7,1,0,1,5,15.0
409,49,85,15,10,60,48,40.0
486,42,114,14,6,37,20,47.0
432,38,95,16,3,31,57,45.0
67,3,13,0,0,6,1,9.0
560,91,143,17,26,75,61,100.0
89,10,17,0,1,5,9,26.0
85,6,18,2,1,3,0,9.0
77,4,9,1,1,4,4,15.0
502,55,127,15,19,79,42,71.0
228,32,55,13,2,22,28,21.0
73,5,10,2,0,3,16,6.0
131,9,30,4,1,12,11,9.0
624,82,167,24,29,120,46,46.0
76,12,15,3,1,11,0,12.0
210,21,44,10,6,30,19,28.0
70,10,19,7,2,9,3,12.0
196,23,37,8,2,23,52,12.0
162,9,30,3,0,8,42,13.0
615,72,139,30,9,68,61,49.0
270,28,56,3,4,19,25,23.0
132,13,29,9,1,7,17,18.0
618,69,152,23,17,65,35,87.0
100,9,14,0,1,7,11,16.0
709,100,198,28,6,59,38,15.0
74,6,12,0,0,7,5,13.0
79,12,14,1,4,9,6,12.0
510,69,115,21,14,44,34,57.0
202,17,46,8,3,22,17,18.0
70,3,10,1,0,4,3,15.0
578,83,164,24,26,95,43,43.0
78,4,15,4,0,7,4,14.0
207,26,38,10,3,17,13,19.0
91,11,17,1,1,13,9,5.0
627,110,134,20,7,40,70,37.0
65,9,18,2,0,2,1,5.0
716,100,176,31,0,52,99,44.0
175,19,35,6,7,25,25,15.0
248,25,53,9,4,23,21,17.0
409,32,88,19,3,25,33,36.0
361,43,88,20,12,37,33,43.0
572,45,139,28,4,51,38,26.0
74,10,9,1,0,5,16,12.0
88,13,26,7,2,11,6,13.0
205,22,40,4,2,17,18,18.0
72,6,18,3,0,3,0,9.0
78,10,12,2,1,7,4,15.0
190,13,65,7,0,29,5,19.0
454,57,104,12,5,43,41,30.0
232,31,50,6,5,28,26,24.0
287,27,61,9,12,36,20,46.0
76,6,11,1,2,8,9,17.0
494,51,96,15,8,33,61,49.0
465,48,93,11,4,49,76,28.0
86,11,12,0,4,6,4,26.0
352,30,67,5,9,40,34,33.0
240,36,50,10,5,21,27,22.0
332,50,67,13,5,19,46,50.0
96,9,17,2,0,4,10,25.0
642,75,158,24,27,102,80,91.0
232,32,55,7,10,28,22,31.0
359,37,85,11,15,53,22,25.0
305,33,81,8,10,43,20,36.0
279,14,58,7,3,20,15,18.0
173,16,38,7,1,17,17,15.0
239,28,53,9,9,28,13,35.0
61,1,3,0,0,0,2,17.0
565,73,132,13,21,70,58,58.0
85,10,15,1,2,7,8,22.0
681,95,158,27,26,116,89,63.0
85,2,14,1,0,5,3,27.0
612,65,133,20,16,81,77,51.0
138,15,23,2,5,17,17,21.0
681,121,200,24,27,102,82,57.0
355,27,70,7,7,28,22,38.0
504,44,134,24,8,81,51,36.0
91,12,26,4,4,19,9,10.0
62,6,12,2,0,5,4,7.0
80,10,10,1,0,5,10,10.0
233,28,65,10,9,43,16,16.0
89,12,16,1,4,7,9,31.0
390,56,78,13,18,54,65,46.0
333,43,77,12,11,45,24,39.0
610,83,153,26,7,60,60,44.0
156,12,31,5,0,9,11,27.0
686,116,192,25,47,113,66,40.0
53,2,10,2,0,2,6,7.0
666,101,190,38,8,62,40,27.0
98,9,22,3,4,7,10,14.0
91,4,16,2,0,2,4,29.0
69,8,16,3,1,8,4,16.0
99,11,19,0,1,9,13,16.0
151,19,31,9,6,15,12,36.0
81,6,8,0,0,2,9,10.0
76,7,14,0,0,1,4,12.0
627,76,157,19,15,49,39,34.0
50,2,4,0,0,0,3,15.0
680,95,177,37,13,83,58,58.0
511,67,111,13,16,61,68,34.0
479,59,122,19,16,79,48,72.0
366,49,82,9,22,58,58,62.0
527,50,140,15,15,68,33,58.0
114,9,20,4,0,8,7,10.0
308,43,80,18,5,28,22,33.0
59,3,9,2,2,6,8,3.0
242,25,45,5,0,19,29,19.0
638,121,158,25,37,99,113,97.0
344,30,66,7,2,19,35,33.0
55,6,7,0,0,6,13,1.0
80,8,21,2,1,9,7,9.0
616,108,144,23,41,101,109,98.0
122,19,29,7,7,18,8,20.0
670,123,185,18,51,127,79,60.0
94,7,16,0,0,10,8,15.0
104,10,25,4,1,10,6,16.0
615,79,152,10,13,53,65,77.0
556,50,126,21,1,37,66,33.0
176,14,36,8,3,21,9,13.0
68,4,13,1,2,7,5,13.0
167,15,31,6,1,8,21,21.0
524,52,113,14,9,41,32,55.0
62,5,13,2,0,1,5,7.0
536,42,124,12,1,38,42,58.0
64,4,15,2,0,10,4,3.0
615,79,149,26,10,70,76,43.0
114,10,20,1,2,8,18,24.0
646,86,175,24,19,76,47,65.0
565,61,112,20,10,49,73,72.0
63,5,19,1,2,6,7,4.0
68,5,15,2,2,7,6,10.0
640,67,185,21,8,83,19,12.0
656,97,179,30,33,108,80,39.0
143,12,41,9,1,14,15,8.0
317,36,77,11,11,53,36,37.0
81,7,18,4,0,7,8,20.0
125,18,42,9,7,23,6,18.0
53,2,8,1,0,1,0,12.0
423,49,94,19,8,59,43,33.0
101,10,17,4,3,14,8,24.0
261,26,55,3,0,8,18,13.0
304,22,83,15,1,25,20,19.0
491,47,102,15,6,40,28,43.0
50,7,12,1,0,1,1,10.0
296,24,71,5,0,25,26,19.0
267,29,67,3,5,34,7,23.0
58,8,15,3,1,8,6,5.0
61,3,13,1,0,3,4,18.0
240,29,51,14,7,30,12,35.0
374,34,105,20,6,45,17,43.0
92,7,20,6,1,10,7,7.0
117,15,31,4,2,9,12,10.0
205,18,43,4,3,23,14,20.0
599,68,146,25,13,62,67,52.0
348,50,93,13,6,41,34,38.0
131,15,37,8,1,20,10,12.0
81,5,12,2,0,7,3,10.0
68,9,11,2,0,5,4,5.0
50,6,8,3,0,3,1,6.0
118,17,31,5,6,22,12,31.0
245,21,55,8,1,30,16,34.0
63,6,13,2,0,3,8,15.0
70,3,12,3,0,7,0,15.0
668,116,186,33,40,109,60,102.0
639,91,190,34,19,76,35,27.0
108,5,20,2,0,7,8,24.0
652,99,156,29,10,61,78,60.0
284,33,53,7,7,28,31,42.0
576,64,138,28,23,73,49,66.0
217,22,57,5,6,32,27,26.0
68,6,12,3,1,7,7,6.0
78,5,14,0,2,7,6,12.0
530,71,120,24,10,52,62,59.0
181,19,37,4,1,9,22,18.0
130,12,27,9,2,13,18,18.0
215,25,36,1,16,42,36,26.0
390,51,81,6,8,36,61,18.0
60,3,13,1,0,4,2,15.0
596,61,120,13,21,81,92,44.0
567,66,143,16,2,49,55,51.0
91,6,9,2,1,5,6,40.0
132,21,19,1,1,3,15,22.0
290,29,55,8,12,28,26,47.0
362,32,83,15,3,34,27,33.0
58,5,10,3,0,5,1,7.0
615,68,148,21,11,51,54,28.0
52,5,7,0,1,4,5,11.0
70,7,15,2,0,5,1,6.0
95,5,10,1,0,2,3,40.0
330,32,71,12,11,34,32,59.0
233,18,56,4,1,12,11,14.0
301,24,63,10,2,23,33,25.0
64,8,14,2,1,8,11,10.0
591,74,138,20,25,106,73,66.0
436,42,119,16,5,52,34,61.0
314,46,92,17,12,61,21,32.0
315,49,86,12,5,34,40,17.0
308,33,51,11,7,39,39,58.0
725,123,186,27,22,77,93,77.0
466,41,115,23,4,52,30,21.0
